"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
9.705223497E1,1.061999989E1,1.727999878E1,-3.035999870E1
9.730363878E1,2.279999971E0,3.755999756E1,-3.893999863E1
9.755507310E1,1.175999928E1,2.315999985E1,-3.971999741E1
9.780620225E1,1.800000000E1,1.139999962E1,-3.029999924E1
9.805727037E1,4.739999771E0,3.185999870E1,-3.954000092E1
9.830821641E1,2.220000029E0,3.131999969E1,-3.786000061E1
9.855904039E1,1.475999928E1,1.242000008E1,-3.155999947E1
9.881096299E1,7.199999809E0,2.339999962E1,-3.684000015E1
9.906184800E1,1.199999973E-1,3.431999969E1,-3.671999741E1
9.931267198E1,1.559999943E1,1.277999973E1,-3.173999977E1
9.956322130E1,6.480000019E0,1.842000008E1,-3.084000015E1
9.981413682E1,3.599999845E-1,3.377999878E1,-3.438000107E1
1.000651439E2,1.553999996E1,1.529999924E1,-3.545999908E1
1.003157576E2,1.097999954E1,1.589999962E1,-3.126000023E1
1.005672224E2,1.379999995E0,3.245999908E1,-3.725999832E1
1.008184736E2,1.800000000E1,1.637999916E1,-3.845999908E1
1.010695417E2,1.505999947E1,1.217999935E1,-2.927999878E1
1.013212507E2,1.860000014E0,3.137999916E1,-3.773999786E1
1.015723494E2,6.659999847E0,2.285999870E1,-3.504000092E1
1.018239057E2,1.727999878E1,9.539999962E0,-2.507999992E1
1.020748213E2,7.440000057E0,2.273999977E1,-3.707999802E1
1.023263472E2,2.939999819E0,2.801999855E1,-3.402000046E1
1.025773542E2,1.739999962E1,1.085999966E1,-2.759999847E1
1.028285749E2,1.559999943E1,1.542000008E1,-3.192000008E1
1.030795515E2,1.740000010E0,3.618000031E1,-3.377999878E1
1.033304670E2,1.769999886E1,1.325999928E1,-2.777999878E1
1.035816572E2,1.403999996E1,1.457999992E1,-2.711999893E1
