"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.324524655E2,4.022258818E-1,2.813186884E0,9.260771751E0
2.327029538E2,4.644751251E-1,2.829946518E0,9.162610054E0
2.329533810E2,4.022258818E-1,2.808398485E0,9.124302864E0
2.332038083E2,4.285621047E-1,2.827552319E0,9.136273384E0
2.334546628E2,4.046200812E-1,2.820369720E0,9.296685219E0
2.337052426E2,4.788403511E-1,2.837129116E0,9.057265282E0
2.339557614E2,4.357447028E-1,2.772485495E0,9.074024200E0
2.342062802E2,3.902548850E-1,2.774879694E0,9.217676163E0
2.344567990E2,4.094084799E-1,2.770091295E0,9.375694275E0
2.347073483E2,4.237737060E-1,2.784456491E0,9.311050415E0
2.349578671E2,4.285621047E-1,2.743755102E0,9.208099365E0
2.352085385E2,4.309563041E-1,2.760514498E0,9.215282440E0
2.354590878E2,5.171475410E-1,2.817975283E0,9.141061783E0
2.357096371E2,5.003881454E-1,2.813186884E0,9.270348549E0
2.359600644E2,5.219359994E-1,2.822763920E0,8.942343712E0
2.362104916E2,5.003881454E-1,2.779668093E0,9.287108421E0
2.364609189E2,5.147533417E-1,2.784456491E0,9.239224434E0
2.367113461E2,3.974374831E-1,2.705447912E0,9.308655739E0
2.369618649E2,3.567360640E-1,2.707842112E0,9.138668060E0
