"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.336206545E2,2.087999916E1,2.334000015E1,-4.134000015E1
1.338751406E2,2.123999977E1,2.327999878E1,-4.073999786E1
1.341296267E2,2.160000038E1,2.303999901E1,-4.193999863E1
1.343840517E2,2.087999916E1,2.279999924E1,-4.091999817E1
1.346385378E2,2.003999901E1,2.303999901E1,-4.200000000E1
1.348930544E2,2.069999886E1,2.315999985E1,-4.170000076E1
1.351474795E2,2.039999962E1,2.321999931E1,-4.104000092E1
1.354019655E2,2.142000008E1,2.268000031E1,-4.157999802E1
1.356562990E2,2.105999947E1,2.255999947E1,-4.157999802E1
1.359109072E2,2.015999985E1,2.261999893E1,-4.139999771E1
1.361653322E2,2.105999947E1,2.273999977E1,-4.170000076E1
1.364196962E2,2.069999886E1,2.255999947E1,-4.205999756E1
1.366741518E2,2.045999908E1,2.321999931E1,-4.157999802E1
1.369285769E2,2.069999886E1,2.273999977E1,-4.175999832E1
1.371830324E2,2.118000031E1,2.255999947E1,-4.115999985E1
1.374374270E2,2.063999939E1,2.387999916E1,-4.134000015E1
1.376918215E2,2.087999916E1,2.327999878E1,-4.152000046E1
1.379462160E2,2.076000023E1,2.315999985E1,-4.193999863E1
1.382006411E2,2.171999931E1,2.292000008E1,-4.218000031E1
1.384550051E2,2.052000046E1,2.255999947E1,-4.086000061E1
1.387094607E2,2.093999863E1,2.243999863E1,-4.175999832E1
1.389638857E2,2.118000031E1,2.292000008E1,-4.139999771E1
1.392183413E2,2.052000046E1,2.279999924E1,-4.104000092E1
1.394728884E2,2.034000015E1,2.321999931E1,-4.157999802E1
1.397273440E2,2.087999916E1,2.310000038E1,-4.139999771E1
1.399817690E2,2.105999947E1,2.310000038E1,-4.079999924E1
1.402363772E2,2.057999992E1,2.334000015E1,-4.187999725E1
1.404910158E2,2.093999863E1,2.345999908E1,-4.068000031E1
1.407455019E2,2.081999969E1,2.363999939E1,-4.229999924E1
1.409999575E2,2.142000008E1,2.292000008E1,-4.157999802E1
1.412543520E2,2.189999962E1,2.363999939E1,-4.134000015E1
1.415087465E2,2.105999947E1,2.339999962E1,-4.163999939E1
1.417631716E2,2.147999954E1,2.279999924E1,-4.218000031E1
1.420177187E2,2.160000038E1,2.351999855E1,-4.104000092E1
1.422722353E2,2.100000000E1,2.279999924E1,-4.170000076E1
1.425267519E2,2.142000008E1,2.321999931E1,-4.187999725E1
1.427813295E2,2.057999992E1,2.237999916E1,-4.121999741E1
1.430358767E2,1.997999954E1,2.177999878E1,-4.145999908E1
1.432904238E2,2.093999863E1,2.315999985E1,-4.109999847E1
1.435448794E2,2.076000023E1,2.315999985E1,-4.145999908E1
1.437994265E2,2.010000038E1,2.285999870E1,-4.163999939E1
1.440539126E2,2.003999901E1,2.334000015E1,-4.175999832E1
1.443082766E2,2.045999908E1,2.339999962E1,-4.139999771E1
1.445626101E2,1.985999870E1,2.357999992E1,-4.068000031E1
1.448171572E2,1.913999939E1,2.237999916E1,-4.043999863E1
1.450717653E2,1.950000000E1,2.237999916E1,-4.007999802E1
1.453263125E2,1.979999924E1,2.357999992E1,-3.959999847E1
1.455807070E2,2.003999901E1,2.411999893E1,-3.984000015E1
1.458351015E2,2.081999969E1,2.357999992E1,-4.097999954E1
1.460897097E2,2.069999886E1,2.405999947E1,-4.097999954E1
1.463443789E2,2.081999969E1,2.405999947E1,-4.223999786E1
1.465989260E2,2.076000023E1,2.363999939E1,-4.145999908E1
1.468534731E2,2.076000023E1,2.327999878E1,-4.079999924E1
1.471078676E2,2.100000000E1,2.268000031E1,-4.068000031E1
1.473623537E2,2.093999863E1,2.297999954E1,-4.073999786E1
1.476168703E2,2.100000000E1,2.237999916E1,-4.104000092E1
1.478715090E2,2.171999931E1,2.213999939E1,-4.020000076E1
1.481261171E2,2.105999947E1,2.153999901E1,-4.061999893E1
