"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
1.396915653E2,2.147999954E1,3.126000023E1,-6.000000000E1
1.399427250E2,2.123999977E1,3.155999947E1,-6.041999817E1
1.401938847E2,2.165999985E1,3.150000000E1,-5.957999802E1
1.404449223E2,2.189999962E1,3.173999977E1,-6.041999817E1
1.406962956E2,2.123999977E1,3.126000023E1,-6.035999680E1
1.409474247E2,2.153999901E1,3.137999916E1,-5.975999832E1
1.411988285E2,2.195999908E1,3.179999924E1,-5.957999802E1
1.414499882E2,2.184000015E1,3.173999977E1,-5.939999771E1
1.417011784E2,2.202000046E1,3.179999924E1,-6.035999680E1
1.419522465E2,2.171999931E1,3.192000008E1,-6.029999924E1
1.422033146E2,2.213999939E1,3.185999870E1,-6.011999893E1
1.424545658E2,2.177999878E1,3.197999954E1,-5.952000046E1
1.427059086E2,2.195999908E1,3.239999771E1,-5.945999908E1
1.429571598E2,2.111999893E1,3.173999977E1,-6.018000031E1
1.432081669E2,2.195999908E1,3.209999847E1,-6.095999908E1
1.434594181E2,2.153999901E1,3.107999992E1,-5.987999725E1
1.437107609E2,2.142000008E1,3.179999924E1,-5.981999969E1
1.439617680E2,2.123999977E1,3.131999969E1,-6.047999954E1
1.442129887E2,2.135999870E1,3.119999886E1,-5.957999802E1
1.444640568E2,2.202000046E1,3.221999741E1,-5.945999908E1
1.447151554E2,2.160000038E1,3.197999954E1,-6.000000000E1
1.449663456E2,2.123999977E1,3.167999840E1,-6.059999847E1
1.452174748E2,2.189999962E1,3.185999870E1,-6.000000000E1
1.454685124E2,2.153999901E1,3.234000015E1,-5.934000015E1
1.457198551E2,2.165999985E1,3.185999870E1,-6.059999847E1
1.459709233E2,2.237999916E1,3.143999863E1,-5.927999878E1
1.462222660E2,2.147999954E1,3.173999977E1,-6.005999756E1
1.464734562E2,2.231999969E1,3.143999863E1,-5.981999969E1
1.467246464E2,2.202000046E1,3.107999992E1,-6.053999710E1
1.469758061E2,2.177999878E1,3.143999863E1,-5.975999832E1
1.472268742E2,2.153999901E1,3.227999878E1,-6.041999817E1
1.474779728E2,2.237999916E1,3.197999954E1,-6.023999786E1
1.477291935E2,2.153999901E1,3.173999977E1,-6.018000031E1
1.479803532E2,2.111999893E1,3.113999939E1,-6.005999756E1
1.482314518E2,2.135999870E1,3.161999893E1,-6.005999756E1
1.484826115E2,2.219999886E1,3.192000008E1,-5.987999725E1
1.487337712E2,2.202000046E1,3.204000092E1,-6.089999771E1
1.489848393E2,2.118000031E1,3.167999840E1,-6.095999908E1
1.492358158E2,2.160000038E1,3.173999977E1,-6.047999954E1
1.494868534E2,2.171999931E1,3.119999886E1,-5.927999878E1
